,label,gini_c,a_c,m_20,n_centroids,reg_ratio,percentile,intensity_r
234,2.0,0.5804492063914001,0.1379836778467843,-3.0824935679969543,2.0,0.2,0.755811623246493,0.17132025715970986
235,3.0,0.8098874970747657,0.38542869624694254,-3.2532324170311933,4.0,1.0,0.7472945891783567,0.38308178388915565
236,1.0,0.7412397137789987,0.06789323231131844,-4.206828232836263,1.0,0.0,0.95,0.0
237,2.0,0.7506333434366926,0.2303320113330988,-3.6111478160557158,3.0,1.0,0.5633266533066132,0.06508247353752655
238,2.0,0.773318280098333,0.23275896614001249,-4.3224797272572,1.0,0.0,0.95,0.0
239,1.0,0.7362158551040506,0.1644576043295307,-4.175642758084965,1.0,0.0,0.95,0.0
240,3.0,0.6709003170321927,0.2540449333166299,-2.0269639851086496,3.0,1.0,0.5548096192384769,0.5558520777889738
241,1.0,0.7000051784609416,0.14190868321824954,-3.9446592978924486,2.0,0.006535947712418301,0.11703406813627255,0.0027778506860723553
242,2.0,0.6779080843213352,0.1687930561654416,-2.820539288122033,2.0,0.5,0.8886773547094188,0.4486257276680773
243,2.0,0.682980357804275,0.2327975188659157,-3.1710378059176842,2.0,0.3333333333333333,0.7898797595190381,0.28929394618010273
244,3.0,0.7371771719841559,0.16818312398320834,-4.792213325395421,2.0,0.017543859649122806,0.15791583166332665,0.008212097455243464
245,3.0,0.743384031886362,0.2668333640139572,-2.443624255161355,3.0,1.0,0.7983967935871743,0.7999575131731419
246,3.0,0.8088004215260064,0.2720646923951001,-3.3614408660824346,3.0,1.0,0.582064128256513,0.07672282878768923
247,2.0,0.8356433856268273,0.1276390530042177,-4.17857052614358,2.0,1.0,0.95,0.9705618381121563
248,1.0,0.924078878586986,0.17845425366354298,-4.144732507730449,1.0,0.0,0.95,0.0
249,3.0,0.6488946208592371,0.34352147230539876,-2.9388944227248777,3.0,1.0,0.7779559118236473,0.07249794038614567
250,3.0,0.7421001898906949,0.30533159362439927,-2.1995886040721384,4.0,1.0,0.32314629258517036,0.0203246776405588
251,1.0,0.7115509796228833,0.14172750604140927,-3.973629022160098,1.0,0.0,0.95,0.0
252,3.0,0.719575562098153,0.2712173917330562,-2.128793060864449,2.0,0.25,0.95,0.258763088069118
253,1.0,0.809926122247802,0.21373443312555346,-4.490993923385687,1.0,0.0,0.95,0.0
254,1.0,0.7210065655468024,0.10963353295576633,-4.108702828498176,1.0,0.0,0.95,0.0
255,3.0,0.6578512135506493,0.3086819603318143,-2.993176603111753,3.0,1.0,0.47304609218436877,0.05827031236597704
256,2.0,0.7192989393234432,0.41548708458398087,-2.592255065154451,3.0,1.0,0.3316633266533066,0.014131109051026233
257,3.0,0.6364022744244123,0.17361546570670305,-3.455804559942517,2.0,0.16666666666666666,0.6621242484969939,0.14091199362524348
258,1.0,0.7539265450373761,0.11182409086131362,-4.241630278647434,2.0,1.0,0.95,0.9650896988544709
259,1.0,0.810901297120977,0.07203991516935454,-4.043313481289704,2.0,1.0,0.8971943887775551,0.8980170479779744
260,1.0,0.9014277904733649,0.25654206112747424,-4.6611104515585655,1.0,0.0,0.95,0.0
261,3.0,0.6722978932439934,0.22757347675844436,-3.6645754338418715,2.0,0.03225806451612903,0.36062124248496996,0.021760649672490695
262,2.0,0.6633847308823178,0.18350603615977584,-2.7732117881880214,2.0,0.16666666666666666,0.47985971943887773,0.11969876895647184
263,1.0,0.7982966817977686,0.14719172237903305,-4.801632197171503,2.0,0.2,0.47985971943887773,0.14127858362809118
264,3.0,0.6402437417203337,0.35784350340387694,-2.4521042379784768,4.0,2.0,0.36402805611222444,0.041877884577372404
265,1.0,0.7476137981445569,0.08446798773210198,-4.6854425188195545,2.0,1.0,0.7864729458917835,0.7864772038085528
266,2.0,0.7486694718191544,0.4065308140035489,-2.295706334952014,3.0,1.0,0.25501002004008017,0.0436755389519138
267,1.0,0.8892286704262364,0.09197067948958654,-4.0295475277197434,1.0,0.0,0.95,0.0
